sample_id,week,sample_time,minutes_to_close,ticker,rank,weekly_volume,series_ticker,market_result,outcome_yes,yes_bid,yes_ask,no_bid,no_ask,market_mid,spread,title
2026-01-01-001,2026-01-01,2026-01-04T22:50:00Z,160.668,KXNBAGAME-26JAN04NOPMIA-MIA,107,1489595.0,KXNBAGAME,yes,1,0.73,0.74,0.26,0.27,0.735,0.010000000000000009,New Orleans vs Miami Winner?
2026-01-08-001,2026-01-08,2026-01-10T01:15:00Z,209.527,KXNCAAFSPREAD-26JAN09OREIND-IND17,132,2060540.0,KXNCAAFSPREAD,yes,1,0.18,0.22,0.78,0.8200000000000001,0.2,0.04000000000000001,Indiana wins by over 17.5 points?
2026-01-15-001,2026-01-15,2026-01-17T07:05:00Z,2605.502,KXNCAAMBGAME-26JAN18WSUSF-WSU,240,1132551.0,KXNCAAMBGAME,no,0,0.16,0.37,0.63,0.84,0.265,0.21,Washington St. at San Francisco Winner?
2026-01-22-001,2026-01-22,2026-01-23T14:15:00Z,510.483,KXNCAAMBGAME-26JAN23FURUNCG-UNCG,254,1121131.0,KXNCAAMBGAME,no,0,0.35,0.37,0.63,0.65,0.36,0.020000000000000018,Furman at UNC Greensboro Winner?
2026-01-29-001,2026-01-29,2026-02-02T22:24:00Z,360.617,KXNCAAMBSPREAD-26FEB02KUTTU-TTU4,246,987728.0,KXNCAAMBSPREAD,no,0,0.49,0.51,0.49,0.51,0.5,0.020000000000000018,Texas Tech wins by over 4.5 Points?
2026-02-05-001,2026-02-05,2026-02-08T22:12:00Z,333.183,KXNFLSBMVP-26-DLAWRENCE0,266,1315590.0,KXNFLSBMVP,no,0,0.0,0.01,0.99,1.0,0.01,0.01,Will DeMarcus Lawrence win the Pro Football Championship Game MVP?
2026-02-12-001,2026-02-12,2026-02-17T15:31:00Z,809.333,KXNCAAMBGAME-26FEB17AFAUNM-AFA,208,1628591.0,KXNCAAMBGAME,no,0,0.01,0.02,0.98,0.99,0.015,0.01,Air Force at New Mexico Winner?
2026-02-19-001,2026-02-19,2026-02-20T20:08:00Z,578.317,KXNBAGAME-26FEB20DENPOR-POR,170,2078655.0,KXNBAGAME,no,0,0.48,0.5,0.5,0.52,0.49,0.020000000000000018,Denver at Portland Winner?
2026-02-26-001,2026-02-26,2026-03-02T11:38:00Z,1022.1,KXNCAAMBGAME-26MAR02ISUARIZ-ARIZ,114,2311501.0,KXNCAAMBGAME,yes,1,0.74,0.76,0.24,0.26,0.75,0.020000000000000018,Iowa St. at Arizona Winner?
2026-03-05-001,2026-03-05,2026-03-07T02:28:00Z,1746.667,KXNCAAMBGAME-26MAR08LBSUHAW-LBSU,159,2200377.0,KXNCAAMBGAME,yes,1,0.11,0.15,0.85,0.89,0.13,0.039999999999999994,Long Beach St. at Hawai'i Winner?
2026-03-12-001,2026-03-12,2026-03-14T18:23:00Z,78.367,KXNBAGAME-26MAR14BKNPHI-BKN,278,1513843.0,KXNBAGAME,no,0,0.0,0.02,0.98,1.0,0.01,0.02,Brooklyn at Philadelphia Winner?
2026-03-19-001,2026-03-19,2026-03-22T04:02:00Z,1076.55,KXPGATOUR-VAC26-SIM,103,4425297.0,KXPGATOUR,no,0,0.41,0.43,0.5700000000000001,0.5900000000000001,0.42,0.020000000000000018,Will Sungjae Im win the Valspar Championship?
2026-03-26-001,2026-03-26,2026-03-26T15:20:00Z,720.067,KXMLBGAME-26MAR262030AZLAD-LAD,144,2215128.0,KXMLBGAME,yes,1,0.7,0.72,0.28,0.30000000000000004,0.71,0.020000000000000018,Arizona vs Los Angeles D Winner?
2026-04-02-001,2026-04-02,2026-04-03T13:14:00Z,6224.55,KXUCLGAME-26APR07RMABMU-RMA,65,3993883.0,KXUCLGAME,no,0,0.34,0.35,0.65,0.6599999999999999,0.345,0.009999999999999953,Real Madrid vs Bayern Munich Winner?
2026-04-09-001,2026-04-09,2026-04-11T16:31:00Z,3469.167,KXMLBGAME-26APR131915MIAATL-ATL,175,2352117.0,KXMLBGAME,no,0,0.55,0.59,0.41000000000000003,0.44999999999999996,0.5700000000000001,0.039999999999999925,Miami vs Atlanta Winner?
2026-04-16-001,2026-04-16,2026-04-16T13:52:00Z,652.783,KXMLBGAME-26APR161810BALCLE-CLE,83,3225672.81,KXMLBGAME,yes,1,0.53,0.54,0.45999999999999996,0.47,0.535,0.010000000000000009,Baltimore vs Cleveland Winner?
2026-04-23-001,2026-04-23,2026-04-23T04:32:00Z,4242.767,KXMLBGAME-26APR251915PHIATL-PHI,117,2799771.57,KXMLBGAME,yes,1,0.37,0.45,0.55,0.63,0.41000000000000003,0.08000000000000002,Philadelphia vs Atlanta Winner?
2026-04-30-001,2026-04-30,2026-04-30T01:57:00Z,1435.6,KXNBA-26-ATL,87,3067347.95,KXNBA,no,0,0.0,0.01,0.99,1.0,0.01,0.01,Will the Atlanta win the 2026 Pro Basketball Finals?
2026-05-07-001,2026-05-07,2026-05-08T07:02:00Z,2351.833,KXNBASPREAD-26MAY09DETCLE-CLE5,229,813691.33,KXNBASPREAD,yes,1,0.44,0.46,0.54,0.56,0.45,0.020000000000000018,Cleveland wins by over 5.5 points?
