gamma_f,lambda,rho_pi,rho_x
0.5723071378354574,0.00067260498665506,0.7479925526714776,0.026648484921257733
0.5816223293427535,0.00010367740039867249,0.722222564804678,0.007560194188319762
0.5854543868311272,-0.00015479705812685004,0.7059209643097917,-0.00583820394903374
0.5976188082029026,4.375471972934645e-05,0.6761293874127712,0.007863239064949507
0.5615267572980228,-0.0006045254529054508,0.7825868892001753,-0.01998313132555249
0.5779620731164729,-0.0002644773240873194,0.7299353810933625,-0.010899305638769126
0.5797517929910476,-1.1455915363296342e-05,0.7244094340700622,-0.0008069427820027156
0.5696411490950315,0.00018703552039607638,0.7563401563740391,0.01048176651625025
0.5516885852779135,0.00026041795893023446,0.8137132750952777,0.01682143818792746
0.5587783633160688,-0.00011067064807410024,0.7863845680205819,-0.0048081988702907
0.5520586561165507,-0.0005352643738662372,0.8038926188343014,-0.015773034167250604
0.5580943784745783,-0.00013116641315299602,0.7882342810166045,-0.006918630520669784
0.5887548983538725,0.00019868581426482883,0.700576626146834,0.00859794613009605
0.5641894924287437,0.00015163667205404536,0.7739644181057882,0.004641984355223622
0.5675446653117694,0.00041866010704108385,0.7653292899171127,0.011616310630301207
0.5675975372747651,0.0001722141968705307,0.7714058864106113,0.017806205295975312
0.5689805089568443,-8.436331342163506e-05,0.7569855821650224,-0.0036651479869458017
0.5668312269624161,0.00011742983753978932,0.7658621417994039,0.005703217659197385
0.5713678174329915,-0.00018837639122694805,0.7498467481706359,-0.00984851859235563
0.5734451740675668,0.0006225998410094129,0.7472944387142667,0.03985731194229613
0.5611984607030805,-0.00020306380311256242,0.7811528445775138,-0.007215702758337665
0.5661971774941204,-0.00012220935318208435,0.765090351154286,-0.0033161736440463366
0.5721180796695898,0.0002634569337605346,0.7503192785691363,0.016190533894010456
0.5520957390992203,0.00017994621461310577,0.8116365568799552,0.006598514433461198
0.5414050445156198,6.265454752527651e-05,0.8475904763619605,0.009381843940105168
0.5492207647536098,-0.0014614547339968104,0.8005319615402032,-0.02082859243614985
0.5437107433568602,0.00017723236881008603,0.8411927630421632,0.00811556588732713
0.555662703161498,-7.669019755472619e-05,0.7990163594450433,-0.002864866956732146
0.5624920695982533,-0.00018021140912661236,0.7792286243026,-0.012524151229864283
0.5624953422571313,0.0001155650799694527,0.7773933315182747,0.005072749455231528
0.5594009579472053,5.2994634276722075e-05,0.7884051067281466,0.023818384525267865
0.5496906698138605,-0.0006122562910006509,0.8159229510178895,-0.01879660813798373
0.5855315906751598,5.692600327795354e-05,0.7110751029130711,0.005631316918689521
0.5735287014932413,0.00020070183863796567,0.7462675901799,0.004051682299424591
0.5565338147814587,0.0011901909911352301,0.80489807589931,0.030817455394908155
0.5821581475965112,0.000533386089916447,0.7176122391000632,0.012276243689321524
0.5793047104591679,-0.00022666839570424386,0.7251111436529305,-0.00809003857878366
0.5820906612853136,0.0002684623348027694,0.725577809217806,0.019425937910422568
