horizon,svar_iv_ebp_fvd
1,0.18940043714871974
2,0.1967882223415289
3,0.21234422957109267
4,0.19989602345610977
5,0.19190771920882796
6,0.1892665712751299
7,0.18836105768844516
8,0.18649581218354191
9,0.18602435032597373
10,0.18633127784136755
11,0.18694606788395557
12,0.1877749701022123
13,0.18897883778717559
14,0.1903702977743673
15,0.19185519237574464
16,0.19340877298541317
17,0.19501086388922662
18,0.1966093933411584
19,0.1981788330686298
20,0.19970387426089772
21,0.2011690870089795
22,0.2025596791312578
23,0.20386749844931787
24,0.20508693244935963
25,0.20621383324614703
26,0.2072459898466144
27,0.2081832905516436
28,0.20902685550210295
29,0.2097788572161819
30,0.2104424422061946
31,0.21102153075301736
32,0.2115205730141768
33,0.2119444260564489
34,0.21229823193539601
35,0.21258729180713282
36,0.2128169599081157
